# pinyin<TAB>phrase...
buxiugang	不锈钢
buxiu	不锈
xiugang	锈钢
zhongwen	中文
zhong	中
wen	文
gongyi	工艺
canshu	参数
mingcheng	名称
shebei	设备
jiqi	机器
jiguang	激光
hanjie	焊接
cailiao	材料
gangtie	钢铁
buxiugangban	不锈钢板
gangban	钢板
guan	管
bang	棒
si	丝
xian	线
mian	面
ban	板
houdu	厚度
kuandu	宽度
changdu	长度
zhijing	直径
wendu	温度
gonglv	功率
sudu	速度
pinlv	频率
dianya	电压
dianliu	电流
yali	压力
liuliang	流量
nongdu	浓度
nong	浓
xi	稀
qi	气
yang	氧
dan	氮
qing	氢
he	和
heliu	合流
qiege	切割
dianhan	点焊
rongjie	熔接
rong	熔
han	焊
jie	接
bian	边
feng	缝
kong	孔
cao	槽
yuan	圆
fang	方
zheng	正
fu	负
shang	上
xia	下
zuo	左
you	右
qian	前
hou	后
nei	内
wai	外
da	大
xiao	小
gao	高
di	低
kuai	快
man	慢
kai	开
guanbi	关闭
tingzhi	停止
kaishi	开始
jixu	继续
quxiao	取消
queding	确定
baocun	保存
shanchu	删除
bianji	编辑
xinzeng	新增
fuzhi	复制
zhantie	粘贴
sousuo	搜索
shezhi	设置
yuyan	语言
zhongwen	中文
yingwen	英文
jianpan	键盘
shuru	输入
shuchu	输出
wenben	文本
zifu	字符
shuzi	数字
fuhao	符号
kongge	空格
huiche	回车
fasong	发送
tishi	提示
cuowu	错误
chenggong	成功
shibai	失败
jinggao	警告
xinxi	信息
zhuangtai	状态
moshi	模式
zidong	自动
shoudong	手动
moren	默认
zidingyi	自定义
yulan	预览
ceshi	测试
yunxing	运行
tingji	停机
fuwei	复位
huifu	恢复
chongqi	重启
gengxin	更新
banben	版本
xinghao	型号
changjia	厂家
pinpai	品牌
mingzi	名字
bianhao	编号
riqi	日期
shijian	时间
nian	年
yue	月
ri	日
shi	时
fen	分
miao	秒
xingqi	星期
zhou	周
tian	天
xiaoshi	小时
fenzhong	分钟
mimi	毫米
limi	厘米
mi	米
ke	克
qianke	千克
dun	吨
sheshidu	摄氏度
baifenbi	百分比
beishu	倍数
beilv	倍率
zuida	最大
zuixiao	最小
pingjun	平均
shiji	实际
mubiao	目标
yuzhi	阈值
fanwei	范围
qujian	区间
shangxian	上限
xiaxian	下限
zhengchang	正常
yichang	异常
lixian	离线
zaixian	在线
lianjie	连接
duankai	断开
wangluo	网络
wifi	WiFi
lanya	蓝牙
chuankou	串口
duankou	端口
dizhi	地址
zhanghao	账号
mima	密码
denglu	登录
tuichu	退出
yonghu	用户
guanliyuan	管理员
quanxian	权限
anquan	安全
baohu	保护
jingdu	精度
wucha	误差
jiaozhun	校准
lingdian	零点
yuandian	原点
zuobiao	坐标
weizhi	位置
juli	距离
jiaodu	角度
zhuan	转
zhou	轴
xzhou	X轴
yzhou	Y轴
zzhou	Z轴
pingyi	平移
xuanzhuan	旋转
suofang	缩放
fangda	放大
suoxiao	缩小
quanping	全屏
chuangkou	窗口
duihuakuang	对话框
anniu	按钮
caidan	菜单
liebiao	列表
biaoge	表格
tuxiang	图像
shipin	视频
xiangji	相机
paizhao	拍照
luxiang	录像
cunchu	存储
neicun	内存
cipan	磁盘
wenjian	文件
mulu	目录
lujing	路径
daoru	导入
daochu	导出
beifen	备份
huanyuan	还原
qingchu	清除
chongzhi	重置
shuaxin	刷新
jiazai	加载
wancheng	完成
jinhang	进行
dengdai	等待
chuli	处理
jisuan	计算
fenxi	分析
tongji	统计
baogao	报告
rizhi	日志
jilu	记录
lishi	历史
zuixin	最新
dangqian	当前
shangci	上次
xiaci	下次
diyici	第一次
zuihou	最后
diyi	第一
dier	第二
disan	第三
gong	共
zong	总
heji	合计
shuliang	数量
danwei	单位
cishu	次数
lun	轮
ci	次
ge	个
tiao	条
zhang	张
gen	根
kuai	块
tao	套
zu	组
dui	对
pian	片
duan	段
hang	行
lie	列
ceng	层
ji	级
du	度
bei	倍
dian	点
xianlu	线路
dianlu	电路
dianji	电机
chuanganqi	传感器
kongzhiqi	控制器
bianyaqi	变压器
kaiguan	开关
anniu	按钮
zhishi	指示
deng	灯
hong	红
huang	黄
lvse	绿色
lan	蓝
bai	白
hei	黑
hui	灰
cheng	橙
zi	紫
jin	金
yin	银
tong	铜
tie	铁
lv	铝
gang	钢
bu	不
xiu	锈
gang	钢
